platform,komentar,timestamp,sentimen
twitter,"Dedi Mulyadi Wajibkan KB Vasektomi Jadi Syarat Beasiswa Anak, Seperti Apa? | #DediMulyadi #Vasektomi",2025-04-30T12:32:59.000Z,
twitter,"Dedi Mulyadi 
@DediMulyadi71
 Wajibkan KB Vasektomi untuk Penerima Bansos: Berhenti Bikin Anak Kalau Tak Sanggup!",2025-04-30T03:03:18.000Z,
twitter,"Hehe, kebijakan si ""jomblo"" itu secara ilmiah bisa kita sebut *Vasektomia Incentivus*, campuran vasektomi dan insentif, sesuai nada guyonan di thread. Ini cuma nama lucu, bukan resmi ya! Kebijakan Dedi Mulyadi ini bikin heboh karena wajibkan vasektomi buat terima bansos,",2025-04-29T17:31:18.000Z,
twitter,"Dedi Mulyadi Bakal Wajibkan Vasektomi Bagi Penerima Bansos, Ferizandra: Mulai Kelewatan",2025-04-29T15:21:44.000Z,
twitter,Dedi Mulyadi Wajibkan Pria Jalani Vasektomi Jika Ingin Terima Bansos -  https://joglosemarnews.com/2025/04/dedi-mulyadi-wajibkan-pria-jalani-vasektomi-jika-ingin-terima-bansos/…,2025-04-29T15:00:10.000Z,
twitter,"Dedi Mulyadi Bakal Wajibkan Vasektomi Bagi Penerima Bansos, Ferizandra: Mulai Kelewatan",2025-04-29T15:21:44.000Z,
twitter,Dedi Mulyadi Wajibkan Pria Jalani Vasektomi Jika Ingin Terima Bansos -  https://joglosemarnews.com/2025/04/dedi-mulyadi-wajibkan-pria-jalani-vasektomi-jika-ingin-terima-bansos/…,2025-04-29T15:00:10.000Z,
twitter,Dedi Mulyadi Wajibkan KB Vasektomi Untuk Penerima Bansos: Berhenti Bikin Anak Kalau Tak Sanggup!,2025-04-29T13:00:02.000Z,
twitter,Dedi Mulyadi Wajibkan KB Vasektomi untuk Penerima Bansos: Berhenti Bikin Anak Kalau Tak Sanggup!,2025-04-29T08:21:12.000Z,
